"participant_id","direct_m_medium"
14,"12.802"
25,"12.4536666666667"
27,"10.283"
8,"15.2793333333333"
12,"11.24"
17,"17.5933333333333"
28,"11.8036666666667"
1,"12.3353333333333"
15,"9.98066666666667"
10,"13.5746666666667"
26,"12.9"
11,"9.363"
4,"18.9726666666667"
18,"17.1173333333333"
30,"18.389"
16,"10.0303333333333"
6,"16.878"
19,"17.4576666666667"
29,"12.088"
2,"16.204"
21,"11.337"
3,"11.7573333333333"
23,"17.8153333333333"
20,"11.0063333333333"
5,"9.16966666666667"
13,"15.3113333333333"
22,"10.0373333333333"
9,"21.9966666666667"
7,"10.2563333333333"
24,"26.557"
