"participant_id","direct_n_small"
14,"9.16833333333333"
25,"13.0083333333333"
27,"8.217"
8,"12.2356666666667"
12,"9.711"
17,"9.028"
28,"11.7483333333333"
1,"12.4206666666667"
15,"10.2343333333333"
10,"9.753"
26,"6.34542857142857"
11,"8.93033333333333"
4,"21.7103333333333"
18,"22.0906666666667"
30,"12.5506666666667"
16,"11.3883333333333"
6,"16.6806666666667"
19,"10.211"
29,"10.556"
2,"11.3893333333333"
21,"7.93033333333333"
3,"11.2176666666667"
23,"12.265"
20,"10.146"
5,"15.867"
13,"11.3893333333333"
22,"11.825"
9,"18.527"
7,"10.2463333333333"
24,"11.098"
