"participant_id","direct_n_small"
14,"16.5166666666667"
25,"9.24133333333333"
27,"11.3976666666667"
8,"12.9456666666667"
12,"15.335"
17,"11.2926666666667"
28,"14.9803333333333"
1,"14.6126666666667"
15,"13.864"
10,"14.014"
26,"6.781"
11,"12.9393333333333"
4,"13.852"
18,"22.1376666666667"
30,"16.37"
16,"10.349"
6,"18.614"
19,"10.7856666666667"
29,"10.3113333333333"
2,"18.315"
21,"6.53466666666667"
3,"16.733"
23,"14.6983333333333"
20,"11.938"
5,"10.4796666666667"
13,"11.9726666666667"
22,"16.8073333333333"
9,"10.0713333333333"
7,"17.941"
24,"28.3643333333333"
