participant_id,avgtime
1,31.2985
2,24.907
3,19.0875
4,45.4915
5,19.695
6,29.226
7,17.936
8,20.4955
9,23.2265
10,61.7485
11,44.357
12,24.5705
13,25.963
14,14.2075
15,23.3265
16,19.737
17,24.5445
18,41.4035
19,34.855
20,32.293
21,34.077
22,25.3675
23,26.5505
,28.88541304
