"participant_id","direct_m_large"
14,"7.827"
25,"20.722"
27,"17.5263333333333"
8,"12.8366666666667"
12,"10.8846666666667"
17,"13.1806666666667"
28,"22.091"
1,"14.361"
15,"14.6603333333333"
10,"16.396"
26,"12.949"
11,"12.6186666666667"
4,"17.6746666666667"
18,"21.9836666666667"
30,"37.5003333333333"
16,"14.579"
6,"13.2303333333333"
19,"18.355"
29,"14.8836666666667"
2,"13.2453333333333"
21,"11.6923333333333"
3,"13.0313333333333"
23,"15.431"
20,"10.5433333333333"
5,"12.923"
13,"16.6953333333333"
22,"14.7466666666667"
9,"18.1426666666667"
7,"16.5783333333333"
24,"23.8046666666667"
