participant_id,direct_m_small
14,10.91133333
25,11.043
27,7.429
8,10.55233333
12,7.647666667
17,9.665333333
28,12.987
1,11.27366667
15,8.818
10,12.51966667
26,6.313
11,7.842666667
4,8.605
18,10.64566667
30,17.62733333
16,17.24733333
6,9.338333333
19,11.38366667
29,7.448
2,9.590666667
21,6.11
3,9.988
23,15.17
20,8.685
5,10.64466667
13,9.317
22,10.194
9,15.32466667
7,11.17133333
24,17.96433333
,10.78192222
