"participant_id","layout","answer","domain_question","all_participants"
23,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","8.374"
23,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","20.588"
23,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","17.331"
24,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","16.302"
24,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","31.512"
24,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","23.6"
25,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","16.903"
25,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","32.208"
25,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.055"
26,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.408"
26,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","11.904"
26,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.408"
26,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","11.904"
26,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","13.535"
26,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","13.535"
27,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","14.51"
27,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","25.787"
27,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","12.282"
28,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","26.065"
28,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","24.524"
28,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","15.684"
29,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","13.782"
29,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.718"
29,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","17.151"
30,"outDD                         ","Gym buddy                                                                                                                                                                                                                                                                                                   ","student                       ","26.791"
30,"inDD                          ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","15.255"
30,"alpha                         ","Pleasant gym time                                                                                                                                                                                                                                                                                           ","gym                           ","70.455"
