"participant_id","direct_n_large"
14,"18.9006666666667"
25,"28.8366666666667"
27,"19.8916666666667"
8,"17.732"
12,"19.0976666666667"
17,"18.3003333333333"
28,"17.736"
1,"29.4293333333333"
15,"16.6796666666667"
10,"19.8216666666667"
26,"15.482"
11,"12.717"
4,"20.13"
18,"27.7903333333333"
30,"35.7373333333333"
16,"27.6203333333333"
6,"38.3333333333333"
19,"16.9966666666667"
29,"32.9993333333333"
2,"22.847"
21,"53.7206666666667"
3,"28.4693333333333"
23,"18.6303333333333"
20,"20.4983333333333"
5,"17.9573333333333"
13,"24.362"
22,"31.373"
9,"25.9793333333333"
7,"26.4013333333333"
24,"38.5276666666667"
