"participant_id","small_path_node"
14,"19.079"
25,"35.45"
27,"20.9526666666667"
8,"19.6743333333333"
12,"26.1456666666667"
17,"20.2703333333333"
28,"21.2203333333333"
1,"30.4706666666667"
15,"15.1803333333333"
10,"20.3456666666667"
26,"13.492"
11,"17.1256666666667"
4,"20.3776666666667"
18,"24.2056666666667"
30,"31.926"
16,"22.751"
6,"27.1706666666667"
19,"19.0893333333333"
29,"20.3373333333333"
2,"26.9623333333333"
21,"17.4366666666667"
3,"17.7003333333333"
23,"35.4706666666667"
20,"20.112"
5,"18.831"
13,"18.6606666666667"
22,"20.759"
9,"30.6503333333333"
7,"21.0386666666667"
24,"39.8413333333333"
