"participant_id","layout","answer","domain_question","all_participants"
23,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","27.432"
24,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","11.087"
24,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","25.871"
24,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","16.935"
25,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","12.698"
25,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","5.46"
25,"inDD                          ","Critical thinking                                                                                                                                                                                                                                                                                           ","student                       ","14.971"
26,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","7.398"
26,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","5.682"
26,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","7.398"
26,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","5.682"
26,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","5.859"
26,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","5.859"
27,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","6.308"
27,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","6.8"
27,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","9.179"
28,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","16.885"
28,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","10.355"
28,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","11.721"
29,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","8.158"
29,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","6.424"
29,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","7.762"
30,"inDD                          ","Pass exams                                                                                                                                                                                                                                                                                                  ","student                       ","6.903"
30,"outDD                         ","Better social life                                                                                                                                                                                                                                                                                          ","gym                           ","9.099"
30,"alpha                         ","Behavioural issues                                                                                                                                                                                                                                                                                          ","drinking                      ","36.88"
